2021-04-16 20:02:08 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:08 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:08 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:08 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:08 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:09 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:09 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:09 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:09 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:09 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:09 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:09 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:09 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:10 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:10 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:10 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:10 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:10 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:10 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:10 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:10 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:10 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:10 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:10 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:10 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:10 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:10 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:11 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:11 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:11 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:11 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
